witness_id,accident_id,statement,contact
W001,A001,Witness reported incident 1.,312-555-2000
W002,A002,Witness reported incident 2.,312-555-2001
W003,A003,Witness reported incident 3.,312-555-2002
W004,A004,Witness reported incident 4.,312-555-2003
W005,A005,Witness reported incident 5.,312-555-2004
W006,A006,Witness reported incident 6.,312-555-2005
W007,A007,Witness reported incident 7.,312-555-2006
W008,A008,Witness reported incident 8.,312-555-2007
W009,A009,Witness reported incident 9.,312-555-2008
W010,A010,Witness reported incident 10.,312-555-2009
W011,A011,Witness reported incident 11.,312-555-2010
W012,A012,Witness reported incident 12.,312-555-2011
W013,A013,Witness reported incident 13.,312-555-2012
W014,A014,Witness reported incident 14.,312-555-2013
W015,A015,Witness reported incident 15.,312-555-2014
W016,A016,Witness reported incident 16.,312-555-2015
W017,A017,Witness reported incident 17.,312-555-2016
W018,A018,Witness reported incident 18.,312-555-2017
W019,A019,Witness reported incident 19.,312-555-2018
W020,A020,Witness reported incident 20.,312-555-2019
W021,A021,Witness reported incident 21.,312-555-2020
W022,A022,Witness reported incident 22.,312-555-2021
W023,A023,Witness reported incident 23.,312-555-2022
W024,A024,Witness reported incident 24.,312-555-2023
W025,A025,Witness reported incident 25.,312-555-2024
W026,A026,Witness reported incident 26.,312-555-2025
W027,A027,Witness reported incident 27.,312-555-2026
W028,A028,Witness reported incident 28.,312-555-2027
W029,A029,Witness reported incident 29.,312-555-2028
W030,A030,Witness reported incident 30.,312-555-2029
W031,A031,Witness reported incident 31.,312-555-2030
W032,A032,Witness reported incident 32.,312-555-2031
W033,A033,Witness reported incident 33.,312-555-2032
W034,A034,Witness reported incident 34.,312-555-2033
W035,A035,Witness reported incident 35.,312-555-2034
W036,A036,Witness reported incident 36.,312-555-2035
W037,A037,Witness reported incident 37.,312-555-2036
W038,A038,Witness reported incident 38.,312-555-2037
W039,A039,Witness reported incident 39.,312-555-2038
W040,A040,Witness reported incident 40.,312-555-2039
W041,A041,Witness reported incident 41.,312-555-2040
W042,A042,Witness reported incident 42.,312-555-2041
W043,A043,Witness reported incident 43.,312-555-2042
W044,A044,Witness reported incident 44.,312-555-2043
W045,A045,Witness reported incident 45.,312-555-2044
W046,A046,Witness reported incident 46.,312-555-2045
W047,A047,Witness reported incident 47.,312-555-2046
W048,A048,Witness reported incident 48.,312-555-2047
W049,A049,Witness reported incident 49.,312-555-2048
W050,A050,Witness reported incident 50.,312-555-2049
